Renda domiciliar per capita - média - INATIVA
Sigla,Código,Brasil,1976,1977,1978,1979,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1992,1993,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,
BR,0,Brasil,638.1706760345,693.7604061162,565.0019099853,625.357069777,587.3215427992,602.7266712422,509.9419377013,508.0143898742,609.288385321,891.3557270498,664.2451937971,616.2185622963,706.8385059377,641.5897623148,557.245886297,587.1520252109,728.1633581995,742.4222044828,741.6342197817,749.3609882426,707.5333372058,718.3787674501,718.3356451031,676.5051334567,691.5461402742,733.0845016017,801.2729458228,822.4697632429,862.630522725,885.8255972634,941.6015049149,1016.3242720639,1047.9546535695,1152.24,
